cohort,year,event_time,estimate,se,n_treated,n_never
2021,2021,0,0.14003738317757009,0.36826866118502294,4,107
2021,2022,1,-0.17152040816326553,0.40089001501278404,4,98
2021,2023,2,0.12958333333333338,0.7702972157736615,3,76
2021,2024,3,-0.7215638297872342,0.4612132340129976,2,47
2022,2022,0,-0.8145,0.9085245505430185,4,100
2022,2023,1,-1.0129285714285716,1.335099663467297,4,77
2022,2024,2,-1.2600624999999999,1.6881041585704495,4,48
2023,2023,0,0.1651443037974689,0.1955371470351569,5,79
2023,2024,1,0.6880425531914895,0.27318041242794433,3,47
