Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antigua and Barbuda,ATG,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40818663,58.25292028,58.62434075,58.59312197,59.42671347,59.9805089,60.91108118,61.39356814,62.33873921,62.70508206,62.25767051,62.14325714,61.972198,60.48106017,60.28055052,61.18242785,60.01546781,60.98548163,62.66776627,62.97473439,63.21871232,62.64358097,67.96447692,69.16888514,71.67074265,76.61328509,77.6572018,79.19768051,74.51177526,71.17119542,68.70605769,67.38499359,67.21161703,69.02007289,69.14162941,69.26466095
Australia,AUS,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1080674,105.8656124,102.1449698,92.21760821,89.99681771,97.29002079,99.64757235,102.3405035,88.22993963,81.27271588,82.41168255,71.27211412,69.92800997,78.75294118,97.08166169,104.3684434,105.0690402,112.04114,132.420225,106.2331946,132.425617,148.9802941,158.8137089,148.4638326,133.3455434,122.610283,105.5604731,111.4336223,113.9741264,104.3658709,95.93846426,104.1686911,98.58757083,90.01790305,89.58941128,90.54043646
Austria,AUT,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.3437008,108.7033589,116.850864,110.8123743,113.2720154,127.974205,121.3666493,105.0240162,102.5688084,98.46772549,83.80038255,82.66606802,85.08244015,100.4732857,109.2358941,109.7211731,108.0082431,118.9592754,125.6648771,117.6243728,111.6823492,115.7235406,104.5365733,105.8617655,106.1202441,88.62933207,85.99873424,87.55130789,90.39061247,82.65438538,83.2431382,85.19869824,72.40172729,76.1898638,76.89782864,81.96411785
Azerbaijan,AZE,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17745399,13.57965593,1.427323017,6.403292112,5.931928519,13.34627318,17.00142307,19.70509754,19.8784954,18.80420618,19.04826224,18.34914434,18.03866847,18.72856529,19.91435916,23.02526657,26.31361749,32.16421527,42.17700017,34.7506108,39.13846821,48.56484539,46.86630328,45.60787574,44.92720615,36.4869265,26.69742765,28.96911514,31.01350821,28.81956276,27.89521568,26.89047947,34.46166794,30.13391977,29.00874355,28.37994872
Burundi,BDI,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.57739342,39.49760479,35.4686763,32.0261975,32.13296344,36.96610799,34.27579866,38.3312384,33.24334767,29.93901757,25.91066937,25.00958701,22.19622868,20.94848453,22.69824928,26.62239558,27.9266131,27.99422793,31.11473306,32.82094145,35.31516381,36.5965335,36.26517798,34.16565159,34.58782338,35.23420966,30.47798385,31.09208343,29.84906044,26.9811392,26.70106967,25.58865367,27.40850387,21.77007592,18.12452081,18.73500397
Belgium,BEL,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.23479,107.3505021,115.2949812,108.8466651,112.5024114,126.5859332,120.8586319,104.5820929,103.9723272,99.26087632,83.10730369,79.93144238,82.57695345,99.10955878,110.5107696,110.9464776,109.7972203,120.4384324,127.5056746,118.5135466,110.9372964,115.7982886,105.6272304,107.0683607,106.3084927,88.76080935,86.45035071,87.62191296,90.5091803,82.37451675,81.80008764,85.14736731,73.51890659,76.06357163,76.23075756,81.35223198
Benin,BEN,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.24789047,40.67917508,32.96878313,40.82641643,27.21715675,34.12933128,34.96195134,31.2274293,32.14986521,32.98273492,29.16337252,28.20197121,30.36108024,36.70730815,39.61141371,40.0623018,40.04477873,42.72170755,47.87513308,46.26979536,43.83334424,46.77649256,45.67294959,46.540145,45.10156323,36.78146143,35.55683111,36.55623315,38.84053993,35.91072228,36.9906554,38.06413732,32.94945504,33.72980889,33.44694225,34.42632641
Burkina Faso,BFA,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.72259537,53.54134245,55.91928688,50.32511323,28.80874217,33.51070429,32.22225111,28.19422916,29.77423693,33.03538997,27.76517337,27.37418712,29.32841886,34.91622991,37.4247269,37.64956308,36.61678157,39.88257625,45.83807,44.24306464,43.11768288,47.34566891,46.53595,46.24540167,46.03945757,37.25067638,35.27244398,34.71849348,37.49851888,34.26511144,34.6632976,36.01689784,31.2811604,31.61955185,33.86690204,37.36039203
Bangladesh,BGD,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.20235526,37.73122655,35.83552587,34.96746373,33.55276864,35.12421982,35.33799701,34.53904665,33.64539027,32.51115196,31.4290402,29.59238717,28.44473204,29.27668447,29.31950088,28.47405061,26.75915937,26.98480348,28.74505524,30.4133721,32.01762814,32.87343646,29.98659092,31.09953276,33.0036171,34.82020463,36.01738725,37.09252545,35.79575368,35.22003128,33.86525435,33.36683388,32.15076911,27.86378286,26.84479117,25.58024543
Bulgaria,BGR,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4984957,12.2487377,14.56417024,18.18255707,15.67217913,29.18014035,21.46691661,23.67499083,29.46783681,28.59928289,25.23816367,25.44433801,26.88119349,32.31363042,36.84421406,37.89586964,39.65922911,45.92853476,50.68455909,49.25692661,45.83499715,49.84951268,45.52109975,46.14936995,44.85636629,38.46836257,37.70812272,38.97047775,41.04497121,38.68497993,39.34196527,41.88383226,38.5457127,40.83004417,41.9277731,45.73152663
